"","1","2","3","4","5","6","7","8","9","10"
"LSK",4.21999538353257,62.4484714458291,86.4692218567074,84.9212270981376,75.8467613201725,70.0418747922022,66.0837675884857,60.2609929262629,57.9897581417179,53.7322174278899
"MAK",2.97246620266079,49.2890731047281,58.0414748612654,91.4181708861356,113.179113649833,114.805016725504,120.025813138544,117.683946982685,114.669136021767,116.63455304753
"MEN",0.967160121940034,45.6287786433522,40.9808671502474,56.1291339563995,59.7299071422783,65.5546428860519,70.1207274297666,71.8328268751077,72.2439691559318,70.9351804703282
"MPF",0.0156247755716999,0.269617002585888,0.323666204785177,0.364926609886501,0.294081888207032,0.302008909083196,0.3974162283771,0.632636913754279,0.755966400733178,0.702739521867517
"OHK",4.54445711142777,29.6658905989422,27.0345495941161,22.0827028932416,18.4361317045626,15.8412193346361,13.5866743019688,12.3161277464934,11.6832067818685,10.6453420590267
"OPT",0.708746882147408,18.2568961430005,49.7276391115626,81.6152457498142,107.529258392688,129.062128380961,143.395178220554,154.981975468143,162.448358283174,140.484328862831
"PIN",2703403.43222909,73798527.760003,53870788.3690944,35769345.9580291,21662019.718499,14051409.0248084,9578471.15014746,6582389.59928677,4404733.82522979,3211233.98189967
"PLA",0.850133744418995,22.7029621852052,39.7346208685968,41.9919622443106,52.9522774677132,58.7917792048487,57.8211918521148,56.6906792815289,53.9443744661396,48.3868783939437
"POL",9.04562679893861,186.583285826697,376.559431823377,505.052418872768,565.673910887273,584.323080352233,584.801387791191,566.708949994105,460.733499244351,443.537594600449
"POR",118.036378002463,32525.1588752811,71874.6191595781,87745.3629834419,68508.7336256943,44973.5934731309,30515.0318461488,24903.913855746,22176.5167959896,22114.8158636652
"PSH",56.7149666773142,3908.75460601703,9446.87348187192,11896.8232473046,10532.134344174,9024.52693128622,7925.07168861608,7079.05591847654,6809.45685568088,6683.92547932385
"RED",0.126376632121756,2.10642472362565,5.17735799292146,8.00100851049394,10.1288096746382,11.6703251838483,13.0128376412038,13.8112786994454,14.2053820736559,14.1075637581635
"REP",1313954.25016002,12886606.7930339,6495878.0269285,3036424.41893345,1396906.89481224,712836.582133601,389338.363322524,235295.480216545,161309.748488708,125597.349969029
"RHK",1.51925363455377,30.252122878655,57.0442500324354,71.2923616841821,78.034697810616,76.940436203984,76.0921672921398,71.110284291633,67.2663031894669,61.7499662615548
"RWH",40911125.8622618,1622818772.18216,514760524.97226,153270453.619654,36400292.1988932,10034621.5880741,3533490.05513615,1716147.35499835,952388.819320779,608979.383122938
"SAL",54.2633875028738,6715.60945679576,14119.2207598267,19506.9215945125,22892.6046323769,24488.5669251264,24880.8063157763,25712.7580998595,24565.9643877249,23593.1290625537
"SB",57593.9983150286,4689239.21502527,5936202.25232837,4550151.57241527,3109748.82058107,2154620.57518667,1540666.75530187,1173221.60579489,882305.721326832,693730.376733571
"SCU",0.632217748183336,16.7360409536904,34.5289937202951,46.3069465749387,52.9080569988163,54.8073313266206,54.6178250206229,53.0002301376423,52.0790279664975,51.0798376705031
"SDF",13.8575133787065,178.293851616036,366.229980196598,571.581779356712,778.952656510292,969.270415477324,1130.24939663759,1253.7450255316,1372.50912623385,1511.29840892464
"SHK",0.477860025958792,53.7104529978828,54.9834942039664,125.190303451388,203.433849380614,289.712832646932,399.906646800942,471.291378120143,538.080970683967,575.368473162357
"SK",16.7720241746147,274.044192684498,492.966228099048,530.291003412913,514.409435357141,485.983723154222,457.626261340234,416.788625537525,382.685896030241,342.364142385815
"SMO",42.2594933367402,307.935198017426,570.009656691639,447.572808721073,364.351423541215,326.906865981824,303.060988051087,274.37908878548,248.024227049501,235.072907354911
"SSH",12.255092959658,1607.3366872818,6394.14715068631,8629.08132583255,9322.66043245918,9103.097906263,8294.62374808807,7417.59632631832,6490.00183523083,5490.64276496972
"STB",6.56178709816668,125.730821766353,220.312599283542,278.027711101928,308.809549531296,320.737375531837,321.577960744747,311.264538278268,294.815744912074,281.560631979253
"SUF",10.6770519705656,167.317008854601,338.055619270242,420.81688933383,518.21380450014,546.917805304199,523.003927768914,498.492089650164,491.281544236004,483.351740987468
"SWH",8476345.33851386,1429795825.00082,473742736.449488,152794330.051338,44107344.7399092,13156214.8072018,4855669.50765745,1837628.48039254,817170.881633947,462759.58364991
"TAU",1.09569226243692,24.5942457324161,61.6104870212564,97.4117792350399,127.061654736389,153.71118021756,170.631935991706,181.927860454093,187.567172068625,190.071209100633
"TUN",320.927805320456,8392.93377839226,14820.2290360485,13824.03555557,11044.4479906341,8352.48982820124,5659.22993704014,3646.55006330879,2249.62724211859,1341.13117850395
"TWH",134733676.340805,16913630192.8618,5756427690.94966,1593818963.73955,455656194.288196,150110628.077804,57415294.619998,27493865.2374559,14415101.6976872,8742732.95436795
"TYL",1.81481975752991,107.456960577276,284.905801734715,444.367672555834,569.300546926935,664.912172916908,705.206540734476,749.429319031268,747.089298729983,754.287398533592
"WHK",1.83927363934073,52.094165271455,63.7515534069353,115.575697947856,191.766120692045,258.018195006095,323.570518559498,392.734309266195,440.726958493054,490.964510726294
"WIF",24.1697323291048,100.615682387349,62.419357137473,73.7354780761564,72.9864722052566,60.7375242529643,56.7890739350777,53.4537029411611,51.4776143665396,50.0417724707742
"WOL",0.606770245170165,10.9489973437848,43.0336750134864,97.2771645250781,161.978906692771,231.126665572078,302.04084111545,374.197661339292,443.10259189626,506.498672999089
"WPF",0.620184710003206,13.5317887495065,19.0730455384625,21.6648187059625,24.8958273896212,24.8712420717744,22.4101094654181,20.740346824298,19.0474131657015,17.8232277120282
"WSK",4.38562708186273,189.401084042177,514.180925872241,682.232349344978,794.860075078483,879.242564007414,932.549878147175,941.329652173178,935.160108594163,929.62024008389
"WTF",0.394849680975885,10.371856540543,26.1582866030068,37.9646155038581,52.8639346860669,59.3422162659885,65.4547000393046,68.7826126016518,66.7492867337865,69.5123623905905
"YTF",0.539276203435501,10.0639378058899,8.74207324918143,13.0172910377704,13.9562747583354,13.9750027589832,13.4376126300358,12.5482304478581,12.284056386815,11.5483806988978
